Target Point,Time Stamp,Codes,Northing,Easting,Ht(G),HRMS,VRMS,Epochs count
1001,06.10.2015 08:15:40,T2047,4502556.35,466924.3613,1919.378475,0.001,0.002,20
1002,06.10.2015 08:17:03,T1391,4502549.752,466922.9845,1919.809931,0.001,0.002,16
1003,06.10.2015 08:18:13,T1399,4502542.31,466920.7756,1920.371501,0.002,0.002,18
1004,06.10.2015 08:19:27,T1403,4502536.18,466920.3658,1920.725206,0.002,0.002,16
1005,06.10.2015 08:20:50,T1007,4502534.775,466922.6133,1920.519304,0.002,0.002,14
1006,06.10.2015 08:22:08,T1013,4502534.29,466924.4007,1920.576541,0.002,0.003,11
1008,06.10.2015 08:27:50,T1407,4502533.445,466926.2893,1920.289193,0.002,0.004,14
1009,06.10.2015 08:29:11,T1499,4502532.28,466928.6141,1919.901039,0.002,0.003,20
1010,06.10.2015 08:34:39,T1495,4502539.19,466931.6676,1919.37852,0.002,0.003,20
1011,06.10.2015 08:35:59,T1023,4502539.238,466927.862,1920.078751,0.002,0.003,13
1013,06.10.2015 08:45:58,T1371,4502555.681,466927.3034,1919.691254,0.002,0.003,10
1014,06.10.2015 08:47:00,T1375,4502555.537,466929.0729,1919.759005,0.003,0.005,10
1015,06.10.2015 08:48:14,T1387,4502549.315,466926.0825,1920.307979,0.002,0.005,10
1016,06.10.2015 08:56:46,T1005,4502541.274,466923.5153,1920.298447,0.002,0.004,15
1017,06.10.2015 08:57:56,T1367,4502540.339,466925.9333,1919.938697,0.002,0.005,10
1018,06.10.2015 08:58:59,T1365,4502548.548,466927.5284,1920.165815,0.002,0.005,10
1019,06.10.2015 09:00:10,T1351,4502554.001,466931.006,1919.398771,0.003,0.007,8
1020,06.10.2015 09:01:40,T1015,4502558.859,466929.7801,1919.631074,0.003,0.008,10
1021,06.10.2015 09:02:43,T1021,4502565.082,466930.793,1918.540742,0.003,0.007,10
1022,06.10.2015 10:56:50,T1463,4502561.525,466933.2296,1918.65312,0.002,0.003,20
1023,06.10.2015 10:57:57,T1503,4502561.52,466935.0895,1918.185135,0.002,0.003,20
1024,06.10.2015 11:01:23,T1527,4502547.077,466933.7848,1918.853357,0.002,0.002,20
1025,06.10.2015 11:03:09,T1471,4502549.599,466929.8572,1919.563165,0.002,0.002,20
1026,06.10.2015 11:04:17,GS,4502547.255,466926.1211,1920.279926,0.004,0.006,3
1027,06.10.2015 11:04:30,GS,4502543.621,466925.2484,1920.428687,0.004,0.006,3
1028,06.10.2015 11:04:46,GS,4502538.84,466923.1866,1920.342356,0.005,0.008,3
1029,06.10.2015 11:05:04,GS,4502534.735,466921.7302,1920.489389,0.004,0.007,3
1030,06.10.2015 11:05:19,GS,4502533.029,466920.0566,1920.905333,0.004,0.006,3
1031,06.10.2015 11:05:33,GS,4502530.599,466920.5936,1920.935065,0.004,0.006,3
1032,06.10.2015 11:05:51,GS,4502527.971,466919.9463,1920.958211,0.006,0.006,3
1033,06.10.2015 11:06:11,GS,4502529.196,466922.9066,1920.724205,0.006,0.008,3
1034,06.10.2015 11:06:19,GS,4502530.526,466922.3237,1920.574539,0.006,0.009,3
1035,06.10.2015 11:06:32,GS,4502532.496,466923.1974,1920.536173,0.006,0.008,3
1036,06.10.2015 11:06:44,GS,4502534.08,466923.582,1920.559113,0.006,0.008,3
1037,06.10.2015 11:06:56,GS,4502535.58,466924.0206,1920.439469,0.005,0.007,3
1038,06.10.2015 11:07:14,GS,4502537.464,466923.929,1920.276508,0.006,0.008,3
1039,06.10.2015 11:07:27,GS,4502538.39,466925.5557,1920.307773,0.006,0.008,3
1040,06.10.2015 11:07:39,GS,4502539.937,466925.5399,1919.99718,0.006,0.007,3
1041,06.10.2015 11:07:56,GS,4502541.873,466925.384,1920.193074,0.005,0.006,3
1042,06.10.2015 11:08:11,GS,4502543.401,466924.7724,1920.595093,0.004,0.006,3
1043,06.10.2015 11:08:33,GS,4502546.213,466925.6125,1920.426017,0.004,0.005,3
1044,06.10.2015 11:08:56,GS,4502548.055,466924.7656,1920.174822,0.005,0.008,3
1045,06.10.2015 11:09:21,GS,4502548.267,466922.6616,1919.934551,0.004,0.006,3
1046,06.10.2015 11:09:35,GS,4502546.397,466921.1178,1920.157769,0.004,0.007,3
1047,06.10.2015 11:10:21,GS,4502543.673,466920.7207,1920.297618,0.005,0.006,3
1048,06.10.2015 11:10:34,GS,4502541.292,466920.808,1920.439378,0.004,0.005,3
1049,06.10.2015 11:10:51,GS,4502538.872,466921.0423,1920.697231,0.004,0.005,3
1050,06.10.2015 11:11:07,GS,4502536.999,466920.7864,1920.723156,0.004,0.005,3
1051,06.10.2015 11:11:27,GS,4502534.945,466920.909,1920.807473,0.004,0.005,3
